"Verbo Alemão,English Translation,Exemplo Alemão"
"darstellen,to represent/portray,Das Bild stellt eine Landschaft dar."
"dauern,to last/take time,Wie lange dauert der Flug?"
"decken,to set (the table)/cover,Kannst du bitte den Tisch decken?"
"demonstrieren,to demonstrate/protest,Die Leute demonstrieren für ihre Rechte."
"dienen,to serve,Womit kann ich Ihnen dienen?"
"diskutieren,to discuss,Wir müssen dieses Thema diskutieren."
"drehen,to turn/spin,Dreh den Schlüssel nach rechts."
"drucken,to print,Ich muss dieses Dokument drucken."
"drücken,to push/press,Drück den Knopf, um die Tür zu öffnen."
"dürfen,to be allowed to/may,Darf ich hier parken?"
"einatmen,to inhale,Atmen Sie tief ein."
"einfallen,to come to mind,Mir fällt sein Name nicht ein."
"einführen,to introduce,Die Firma hat ein neues Produkt eingeführt."
"einladen,to invite,Ich möchte dich zu meiner Party einladen."
"einnehmen,to take (medicine),Nehmen Sie die Tabletten dreimal täglich ein."
"einpacken,to pack,Ich muss meinen Koffer packen."
"einrichten,to furnish/set up,Wir richten unsere neue Wohnung ein."
"einschlafen,to fall asleep,Ich konnte gestern nicht einschlafen."
"einschalten,to turn on,Schalte bitte den Fernseher ein."
"einsteigen,to get on/board,Bitte schnell einsteigen, der Zug fährt gleich ab."
"eintippen,to type in,Tippen Sie Ihr Passwort ein."
"eintreten,to enter,Bitte treten Sie ein."
"einverstanden sein,to agree,Ich bin mit dem Vorschlag einverstanden."
"einzahlen,to deposit,Ich muss Geld auf mein Konto einzahlen."
"empfangen,to receive,Wir haben Ihre Nachricht empfangen."
"empfehlen,to recommend,Welches Restaurant können Sie empfehlen?"
"empfinden,to feel/perceive,Ich empfinde große Freude."
"entdecken,to discover,Kolumbus hat Amerika entdeckt."
"entfernen,to remove,Bitte entfernen Sie Ihre Schuhe."
"enthalten,to contain,Die Schokolade enthält Nüsse."
"entlassen,to dismiss/fire,Er wurde aus dem Krankenhaus entlassen."
"entscheiden,to decide,Ich kann mich nicht entscheiden."
"entschuldigen,to excuse/apologize,Entschuldigen Sie bitte die Störung."
"entspannen,to relax,Im Urlaub kann ich mich gut entspannen."
"entstehen,to originate/arise,Wie ist dieses Missverständnis entstanden?"
"enttäuschen,to disappoint,Sein Verhalten hat mich sehr enttäuscht."
"entwickeln,to develop,Die Firma entwickelt eine neue Software."
"erfahren,to experience/learn,Ich habe es aus der Zeitung erfahren."
"erfinden,to invent,Wer hat das Telefon erfunden?"
"erfüllen,to fulfill,Ich hoffe, deine Wünsche erfüllen sich."
"erhalten,to receive/obtain,Ich habe einen Brief erhalten."
"erhöhen,to increase/raise,Die Preise werden erhöht."
"erinnern,to remember,Ich kann mich nicht an seinen Namen erinnern."
"erkälten,to catch a cold,Ich habe mich erkältet."
"erkennen,to recognize,Ich habe dich an deiner Stimme erkannt."
"erklären,to explain,Kannst du mir die Grammatik erklären?"
"erlauben,to allow/permit,Rauchen ist hier nicht erlaubt."
"erleben,to experience,Wir haben im Urlaub viel erlebt."
"erledigen,to take care of/get done,Ich muss noch einige Dinge erledigen."
"erreichen,to reach/achieve,Wir haben unser Ziel erreicht."
"erscheinen,to appear,Die Sonne erscheint am Horizont."
"erschrecken,to frighten/be frightened,Der laute Knall hat mich erschreckt."
"erwarten,to expect,Ich erwarte einen Anruf."
"erzählen,to tell/narrate,Erzähl mir eine Geschichte!"
"erziehen,to educate/bring up,Sie hat ihre Kinder gut erzogen."
"fehlen,to be missing,Du hast mir gefehlt."
"feiern,to celebrate,Wir feiern heute meinen Geburtstag."
"feststellen,to determine/notice,Ich habe festgestellt, dass etwas nicht stimmt."
"filmen,to film,Er filmt die ganze Zeremonie."
"flattern,to flutter,Die Schmetterlinge flattern in der Luft."
"folgen,to follow,Folgen Sie mir bitte."
"fordern,to demand,Die Arbeiter fordern höhere Löhne."
"fotografieren,to photograph,Ich fotografiere gerne die Natur."
"fragen,to ask,Darf ich Sie etwas fragen?"
"freuen,to be happy/look forward to,Ich freue mich auf das Wochenende."
"fühlen,to feel,Wie fühlen Sie sich heute?"
"führen,to lead/guide,Der Reiseführer führt die Gruppe durch die Stadt."
"füllen,to fill,Füllen Sie bitte das Formular aus."
"funktionieren,to work/function,Mein Computer funktioniert nicht mehr."
"fürchten,to fear,Ich fürchte mich vor Spinnen."
"garantieren,to guarantee,Wir garantieren die beste Qualität."
"gefallen,to be pleasing to/like,Das neue Kleid gefällt mir sehr gut."
"gehorchen,to obey,Hunde müssen ihren Besitzern gehorchen."
"gehören,to belong to,Wem gehört diese Jacke?"
"gelingen,to succeed,Es ist mir gelungen, das Problem zu lösen."
"gelten,to be valid,Diese Fahrkarte gilt für den ganzen Tag."
"genießen,to enjoy,Genießen Sie Ihren Urlaub!"
"genügen,to be enough/suffice,Das Geld genügt nicht."
"geschehen,to happen/occur,Was ist hier geschehen?"
"gestalten,to design/shape,Sie gestaltet ihre eigene Kleidung."
"gestehen,to confess,Der Dieb hat alles gestanden."
"gewinnen,to win,Wer hat das Spiel gewonnen?"
"gewöhnen,to get used to,Ich kann mich nicht an das kalte Wetter gewöhnen."
"glauben,to believe/think,Ich glaube, es wird heute regnen."
"gleichen,to resemble/be equal to,Er gleicht seinem Bruder sehr."
"graben,to dig,Der Hund gräbt ein Loch im Garten."
"gratulieren,to congratulate,Ich gratuliere dir zum Geburtstag."
"greifen,to grab/seize,Er griff nach dem Buch."
"gründen,to found/establish,Sie haben eine neue Firma gegründet."
"grüßen,to greet,Bitte grüße deine Eltern von mir."
"gucken,to look/watch,Guck mal, ein Regenbogen!"
"heiraten,to marry,Sie werden nächstes Jahr heiraten."
"heißen,to be called,Wie heißen Sie?"
"herausfinden,to find out,Ich muss herausfinden, wann der Zug fährt."
"herstellen,to produce/manufacture,Diese Fabrik stellt Autos her."
"herunterladen,to download,Du kannst die Software kostenlos herunterladen."
"hoffen,to hope,Ich hoffe, du kommst bald."
"holen,to get/fetch,Ich hole schnell die Post."
"hören,to hear/listen,Hörst du die Musik?"
"informieren,to inform,Bitte informieren Sie mich über Änderungen."
"installieren,to install,Ich muss ein neues Programm installieren."
"interessieren,to interest,Das Thema interessiert mich sehr."
"irren,to be mistaken,Entschuldigung, da habe ich mich geirrt."
"jagen,to hunt,In diesem Wald darf man nicht jagen."
"joggen,to jog,Er geht jeden Morgen joggen."
"kämpfen,to fight,Sie kämpfen für die Freiheit."
"kaufen,to buy,Ich kaufe Brot im Supermarkt."
"kennenlernen,to get to know,Ich möchte deine Freunde kennenlernen."
"klagen,to complain/sue,Sie klagt über Kopfschmerzen."
"klappen,to work out/go well,Ich hoffe, es klappt alles."
"klären,to clarify,Wir müssen dieses Missverständnis klären."
"kleben,to stick/glue,Kleb die Briefmarke auf den Umschlag."
"klettern,to climb,Die Kinder klettern auf den Baum."
"klingen,to sound,Das klingt nach einer guten Idee."
"klopfen,to knock,Jemand klopft an die Tür."
"kochen,to cook,Ich koche heute Abend Pasta."
"kombinieren,to combine,Man kann diese Farben gut kombinieren."
"konzentrieren,to concentrate,Ich muss mich auf meine Arbeit konzentrieren."
"kopieren,to copy,Kannst du mir diese Dokumente kopieren?"
"korrigieren,to correct,Der Lehrer korrigiert die Fehler."
"kosten,to cost,Was kostet dieses Buch?"
"kriegen,to get,Was kriegst du zum Geburtstag?"
"kritisieren,to criticize,Man sollte nicht immer alles kritisieren."
"kündigen,to resign/terminate,Er hat seinen Job gekündigt."
"küssen,to kiss,Sie küssten sich zum Abschied."
"lächeln,to smile,Sie lächelte freundlich."
"lachen,to laugh,Wir haben viel gelacht."
"laden,to load/charge,Ich muss mein Handy laden."
"landen,to land,Das Flugzeug ist sicher gelandet."
"lassen,to let/leave,Lass uns ins Kino gehen."
"leben,to live,Wo leben deine Großeltern?"
"legen,to lay/put down,Leg das Buch auf den Tisch."
"lehren,to teach,Er lehrt Deutsch an einer Universität."
"leiden,to suffer,Er leidet an einer seltenen Krankheit."
"leihen,to lend/borrow,Kannst du mir Geld leihen?"
"leisten,to achieve/afford,Das kann ich mir nicht leisten."
"leiten,to lead/manage,Sie leitet die Marketingabteilung."
"lernen,to learn,Ich lerne Spanisch."
"lieben,to love,Ich liebe dich."
"liefern,to deliver,Der Postbote liefert die Pakete."
"loben,to praise,Der Chef hat seine Mitarbeiter gelobt."
"lösen,to solve,Wir müssen dieses Rätsel lösen."
"lügen,to lie,Du sollst nicht lügen."
"malen,to paint,Sie malt wunderschöne Bilder."
"meinen,to mean/think,Was meinst du dazu?"
"melden,to report,Bitte melden Sie sich an der Rezeption."
"merken,to notice/memorize,Ich kann mir keine Zahlen merken."
"messen,to measure,Wir müssen die Temperatur messen."
"mieten,to rent,Wir haben ein Auto für das Wochenende gemietet."
"mitbringen,to bring along,Bring bitte etwas zu trinken mit."
"mitkommen,to come along,Kommt ihr mit ins Kino?"
"mitmachen,to join in/participate,Wer möchte bei dem Spiel mitmachen?"
"mitnehmen,to take with,Nimm einen Regenschirm mit, es könnte regnen."
"mitteilen,to inform/communicate,Bitte teilen Sie uns Ihre neue Adresse mit."
"mögen,to like,Ich mag Schokolade."
"müssen,to have to/must,Ich muss jetzt gehen."
"nachdenken,to think about/reflect,Ich muss über dein Angebot nachdenken."
"nähen,to sew,Meine Großmutter hat mir das Nähen beigebracht."
"nennen,to name/call,Kannst du mir drei deutsche Städte nennen?"
"nutzen,to use/utilize,Wir sollten die Zeit sinnvoll nutzen."
"öffnen,to open,Öffnen Sie bitte die Tür."
"organisieren,to organize,Sie organisiert eine große Party."
"packen,to pack,Hast du schon deinen Koffer gepackt?"
"parken,to park,Hier dürfen Sie nicht parken."
"passen,to fit,Die Schuhe passen mir nicht."
"passieren,to happen,Was ist passiert?"
"planen,to plan,Wir planen unseren nächsten Urlaub."
"probieren,to try/taste,Möchtest du den Wein probieren?"
"produzieren,to produce,Die Firma produziert hochwertige Möbel."
"profitieren,to profit/benefit,Von diesem Abkommen profitieren beide Seiten."
"protestieren,to protest,Die Studenten protestieren gegen die hohen Gebühren."
"prüfen,to check/examine,Bitte prüfen Sie die Rechnung sorgfältig."
"putzen,to clean,Ich muss das Badezimmer putzen."
"raten,to advise/guess,Was rätst du mir?"
"rauchen,to smoke,Rauchen ist ungesund."
"reagieren,to react,Er hat nicht auf meinen Brief reagiert."
"realisieren,to realize,Jetzt realisiere ich meinen Fehler."
"rechnen,to calculate,Ich kann gut im Kopf rechnen."
"reden,to talk/speak,Lass uns später darüber reden."
"reduzieren,to reduce,Wir müssen unsere Kosten reduzieren."
"regeln,to regulate/settle,Das müssen wir unter uns regeln."
"regnen,to rain,Es regnet den ganzen Tag."
"reichen,to be enough/reach,Das Essen reicht für alle."
"reinigen,to clean,Die Kleidung muss chemisch gereinigt werden."
"reisen,to travel,Ich reise gerne in andere Länder."
"reiten,to ride (a horse),Als Kind habe ich reiten gelernt."
"rennen,to run/race,Die Kinder rennen über die Wiese."
"reparieren,to repair,Kannst du mein Fahrrad reparieren?"
"reservieren,to reserve,Ich möchte einen Tisch für zwei Personen reservieren."
"retten,to save/rescue,Der Feuerwehrmann hat das Kind gerettet."
"riechen,to smell,Die Blumen riechen gut."
"sammeln,to collect,Ich sammle Briefmarken."
"schaden,to harm/damage,Rauchen schadet der Gesundheit."
"schaffen,to manage/create,Wir schaffen das zusammen!"
"schalten,to switch,Schalte bitte das Licht ein."
"schätzen,to estimate/appreciate,Ich schätze, es sind ungefähr 100 Leute hier."
"schauen,to look/watch,Schau mal, was ich gefunden habe!"
"scheinen,to shine/seem,Die Sonne scheint."
"schenken,to give (as a gift),Ich schenke meiner Mutter Blumen."
"schicken,to send,Ich schicke dir eine E-Mail."
"schieben,to push,Hilf mir, den Tisch zu schieben."
"schießen,to shoot,Er hat ein Tor geschossen."
"schlagen,to hit/beat,Schlag die Eier in die Schüssel."
"schließen,to close,Bitte schließen Sie die Tür leise."
"schmecken,to taste,Die Suppe schmeckt sehr gut."
"schneiden,to cut,Ich muss mir die Haare schneiden lassen."
"schneien,to snow,Im Winter schneit es oft."
"schreien,to shout/scream,Schrei nicht so laut!"
"schwören,to swear,Ich schwöre, dass ich die Wahrheit sage."
"senden,to send,Wir senden Ihnen die Unterlagen per Post."
"setzen,to set/put,Setzen Sie sich bitte."
"sichern,to secure/save,Vergiss nicht, deine Arbeit zu sichern."
"sinken,to sink,Das Schiff ist im Sturm gesunken."
"sollen,to should/be supposed to,Du sollst deine Hausaufgaben machen."
"sparen,to save,Ich spare Geld für ein neues Auto."
"spielen,to play,Die Kinder spielen im Garten."
"spülen,to rinse/wash dishes,Nach dem Essen muss ich spülen."
"spüren,to feel,Ich spüre, dass etwas nicht in Ordnung ist."
"starten,to start,Das Rennen startet um 15 Uhr."
"stattfinden,to take place,Das Konzert findet morgen statt."
"staubsaugen,to vacuum,Ich muss das Wohnzimmer staubsaugen."
"stechen,to sting/prick,Eine Biene hat mich gestochen."
"stecken,to put/stick,Steck den Schlüssel ins Schloss."
"stehlen,to steal,Jemand hat mein Fahrrad gestohlen."
"steigen,to climb/rise,Die Preise steigen ständig."
"stellen,to place/put upright,Stell die Flasche auf den Tisch."
"sterben,to die,Sein Großvater ist letztes Jahr gestorben."
"stimmen,to be correct,Das stimmt nicht."
"stören,to disturb,Bitte stör mich nicht bei der Arbeit."
"streiten,to argue,Die Geschwister streiten sich oft."
"studieren,to study,Ich studiere Medizin in Berlin."
"suchen,to search/look for,Was suchst du?"
"tanzen,to dance,Tanzen wir?"
"teilen,to share,Teilen wir uns die Pizza?"
"teilnehmen,to participate,Möchtest du am Wettbewerb teilnehmen?"
"telefonieren,to talk on the phone,Ich habe lange mit meiner Freundin telefoniert."
"töten,to kill,Man darf keine Tiere töten."
"trainieren,to train/practice,Ich trainiere dreimal pro Woche im Fitnessstudio."
"träumen,to dream,Ich habe von dir geträumt."
"trennen,to separate,Wir müssen den Müll trennen."
"treten,to step/kick,Tritt nicht auf den Rasen!"
"trocknen,to dry,Die Wäsche trocknet in der Sonne."
"überlegen,to consider/think over,Ich muss mir das noch einmal überlegen."
"übernachten,to stay overnight,Wir haben im Hotel übernachtet."
"übernehmen,to take over,Sie wird die Leitung des Projekts übernehmen."
"überprüfen,to check/review,Bitte überprüfen Sie Ihre Antworten."
"überraschen,to surprise,Sein Besuch hat uns überrascht."
"übersetzen,to translate,Kannst du diesen Satz ins Englische übersetzen?"
"überweisen,to transfer (money),Ich muss die Miete überweisen."
"überzeugen,to convince,Er konnte mich nicht überzeugen."
"umarmen,to hug/embrace,Sie umarmten sich herzlich."
"umsteigen,to change (trains, etc.),In Frankfurt müssen wir umsteigen."
"umziehen,to move (house),Nächstes Jahr ziehen wir nach Hamburg um."
"unterhalten,to entertain/talk,Wir haben uns lange unterhalten."
"unternehmen,to undertake,Was wollen wir am Wochenende unternehmen?"
"unterscheiden,to distinguish,Kannst du die Zwillinge unterscheiden?"
"unterschreiben,to sign,Bitte unterschreiben Sie hier."
"untersuchen,to investigate/examine,Der Arzt hat mich gründlich untersucht."
"verbessern,to improve,Ich möchte mein Deutsch verbessern."
"verbieten,to forbid,Der Zutritt ist für Unbefugte verboten."
"verbinden,to connect/link,Können Sie mich mit Herrn Müller verbinden?"
"verbringen,to spend (time),Wir haben unseren Urlaub am Meer verbracht."
"verdienen,to earn/deserve,Er verdient viel Geld."
"vergessen,to forget,Ich habe meinen Schlüssel vergessen."
"vergleichen,to compare,Vergleichen Sie die Preise, bevor Sie etwas kaufen."
"vergrößern,to enlarge/increase,Können Sie das Bild vergrößern?"
"verhalten,to behave,Verhalte dich bitte anständig!"
"verkaufen,to sell,Ich verkaufe mein altes Auto."
"verlängern,to extend/lengthen,Ich möchte mein Visum verlängern."
"verlieren,to lose,Ich will dieses Spiel nicht verlieren."
"vermeiden,to avoid,Versuchen Sie, Fehler zu vermeiden."
"vermieten,to rent out,Sie vermietet eine Wohnung im Stadtzentrum."
"vermissen,to miss,Ich vermisse meine Familie."
"vermuten,to assume/suspect,Ich vermute, dass er nicht kommen wird."
"veröffentlichen,to publish,Der Autor hat ein neues Buch veröffentlicht."
"verraten,to betray/reveal,Verrate mir dein Geheimnis nicht!"
"verschieben,to postpone/move,Wir müssen den Termin verschieben."
"verschwinden,to disappear,Mein Stift ist verschwunden."
"versprechen,to promise,Ich verspreche, dir zu helfen."
"verstecken,to hide,Die Kinder verstecken sich im Garten."
"versuchen,to try/attempt,Ich versuche, pünktlich zu sein."
"verteidigen,to defend,Der Anwalt verteidigt seinen Mandanten."
"verteilen,to distribute,Der Lehrer verteilt die Arbeitsblätter."
"vertragen,to tolerate/stand,Ich vertrage keine Milch."
"vertrauen,to trust,Ich vertraue dir vollkommen."
"verursachen,to cause,Der Sturm hat große Schäden verursacht."
"verwenden,to use,Welches Waschmittel verwendest du?"
"verzeihen,to forgive,Ich kann dir nicht verzeihen."
"vorbereiten,to prepare,Ich muss mich auf die Prüfung vorbereiten."
"vorgehen,to proceed,Wie sollen wir jetzt vorgehen?"
"vorhaben,to intend/plan,Was hast du am Wochenende vor?"
"vorstellen,to introduce/imagine,Darf ich mich vorstellen?"
"wachsen,to grow,Die Blumen wachsen schnell."
"wählen,to choose/vote,Welches Kleid wählst du?"
"wandern,to hike,Wir gehen am Sonntag im Wald wandern."
"warten,to wait,Bitte warten Sie einen Moment."
"waschen,to wash,Ich muss meine Wäsche waschen."
"wechseln,to change/exchange,Ich möchte Geld wechseln."
"wecken,to wake up (someone),Kannst du mich morgen um 7 Uhr wecken?"
"wegwerfen,to throw away,Wirf den Müll bitte weg."
"weinen,to cry,Das kleine Kind weint."
"weitergeben,to pass on,Bitte geben Sie diese Information weiter."
"weitergehen,to continue/go on,Gehen Sie bitte weiter, hier gibt es nichts zu sehen."
"weiterhelfen,to help further,Kann ich Ihnen weiterhelfen?"
"weitermachen,to carry on/continue,Machen wir morgen weiter."
"wenden,to turn,Wenden Sie nach 200 Metern."
"werben,to advertise,Die Firma wirbt für ein neues Produkt."
"werfen,to throw,Wirf den Ball!"
"wiederholen,to repeat,Können Sie das bitte wiederholen?"
"wiegen,to weigh,Wie viel wiegst du?"
"winken,to wave,Sie winkte mir zum Abschied."
"wollen,to want to,Ich will nach Hause gehen."
"wünschen,to wish,Ich wünsche dir alles Gute."
"zahlen,to pay,Möchten Sie bar oder mit Karte zahlen?"
"zählen,to count,Zähl bis zehn!"
"zeichnen,to draw,Sie kann sehr gut Pferde zeichnen."
"zeigen,to show,Zeig mir deine Hände!"
"zerstören,to destroy,Der Krieg hat die Stadt zerstört."
"zuhören,to listen to,Hör mir gut zu!"
"zumachen,to close,Mach bitte die Tür zu."
"zunehmen,to increase/gain weight,Ich habe im Urlaub zugenommen."
"zurückgeben,to give back,Du musst mir mein Buch zurückgeben."
"zurückkommen,to come back,Wann kommst du zurück?"
"zusammenarbeiten,to cooperate/work together,Die beiden Firmen arbeiten eng zusammen."
"zusammenfassen,to summarize,Fassen Sie den Text bitte kurz zusammen."
"zustimmen,to agree,Ich stimme dir voll und ganz zu."
