verbo|traducao_russo|exemplo_russo|nivel
parken|парковать|Здесь нельзя парковаться.|A1
passen|подходить|Брюки мне больше не подходят.|A1
planen|планировать|Мы планируем наш отпуск.|A1
probieren|пробовать|Хочешь попробовать торт?|A1
putzen|чистить|Я чищу зубы каждое утро.|A1
radieren|стирать|Я сделал ошибку и должен стереть.|A1
rauchen|курить|Курить здесь запрещено.|A1
rasieren|бриться|Он бреется каждое утро.|A1
regnen|идти (о дожде)|Сегодня весь день идет дождь.|A1
reparieren|чинить|Ты можешь починить мой велосипед?|A1
reservieren|резервировать|Я хочу зарезервировать столик.|A1
rühren|мешать|Пожалуйста, размешайте сахар в кофе.|A1
rufen|звать, кричать|Я позвоню тебе позже.|A1
sagen|говорить|Что ты сказал?|A1
sammeln|собирать|Я собираю марки.|A1
schauen|смотреть|Смотри! Птица!|A1
schenken|дарить|Я дарю тебе книгу.|A1
schießen|стрелять|Он бьет по воротам.|A1
schlafen|спать|Я сплю семь часов в сутки.|A1
schließen|закрывать|Закройте дверь, пожалуйста.|A1
schmecken|быть на вкус|Торт вкусный.|A1
schneiden|резать|Ты можешь порезать хлеб?|A1
schneien|идти (о снеге)|Зимой часто идет снег.|A1
schreiben|писать|Я пишу письмо.|A1
schwimmen|плавать|Я люблю плавать в озере.|A1
sehen|видеть|Я тебя вижу.|A1
sein|быть|Я устал.|A1
senden|отправлять|Мы отправим вам электронное письмо.|A1
sitzen|сидеть|Он сидит на стуле.|A1
singen|петь|Она очень красиво поет.|A1
spazieren|гулять|Мы любим гулять.|A1
spielen|играть|Дети играют в саду.|A1
spülen|мыть, полоскать|Мне еще нужно помыть посуду.|A1
starten|стартовать|Рейс вылетает в 10 часов.|A1
stehen|стоять|Чашка стоит на столе.|A1
stoppen|останавливать|Остановите машину здесь, пожалуйста.|A1
studieren|учиться (в университете)|Она изучает медицину в университете.|A1
tanzen|танцевать|Хочешь пойти потанцевать?|A1
telefonieren|говорить по телефону|Мне нужно позвонить.|A1
tragen|носить|Она носит красный свитер.|A1
treiben|заниматься (спортом)|Он много занимается спортом.|A1
trinken|пить|Что бы вы хотели выпить?|A1
verstehen|понимать|Я этого не понимаю.|A1
vorstellen|представлять, знакомить|Разрешите представиться?|A1
abfliegen|вылетать|Самолет вылетел вовремя.|A2
abmelden|отписываться, выходить из системы|Я должен отписаться от курса.|A2
abtrocknen|вытирать насухо|Вытри посуду, пожалуйста.|A2
anziehen|надевать|Надень куртку, холодно.|A2
anzünden|зажигать|Можешь зажечь свечу, пожалуйста?|A2
aufwachen|просыпаться|Я проснулся в 6 часов.|A2
baden|купаться|Я люблю купаться в море.|A2
backen|печь|Она печет торт на вечеринку.|A2
basteln|мастерить|Дети мастерят подарок.|A2
beantworten|отвечать|Ответьте на вопрос, пожалуйста.|A2
beeilen (sich)|торопиться|Мы должны торопиться!|A2
bekommen|получать|Я получил письмо.|A2
benutzen|использовать|Можно воспользоваться твоим телефоном?|A2
berichten|сообщать|Он сообщает новости.|A2
bitten|просить|Я прошу тебя о помощи.|A2
bleiben|оставаться|Ты останешься сегодня дома?|A2
braten|жарить|Я жарю курицу на сковороде.|A2
bügeln|гладить|Мне еще нужно погладить рубашки.|A2
danken|благодарить|Я благодарю тебя за помощь.|A2
einfügen|вставлять|Вставьте текст здесь.|A2
einzahlen|вносить (деньги)|Я хочу внести деньги на свой счет.|A2
erinnern (sich)|помнить|Я не могу этого вспомнить.|A2
erholen (sich)|отдыхать|Я должен отдохнуть от работы.|A2
erklären|объяснять|Вы можете это объяснить, пожалуйста?|A2
erwarten|ожидать|Я ожидаю звонка.|A2
falsch|неправильный (используется с 'sein')|Это неправильно.|A2
faxen|отправлять по факсу|Я должен отправить документ по факсу.|A2
feiern|праздновать|Мы сегодня празднуем мой день рождения.|A2
fühlen (sich)|чувствовать себя|Как вы себя сегодня чувствуете?|A2
gefallen|нравиться|Новая квартира мне очень нравится.|A2
gehören|принадлежать|Кому принадлежит эта книга?|A2
grillen|жарить на гриле|Мы сегодня вечером жарим на гриле в саду.|A2
hängen|висеть|Картина висит на стене.|A2
heiraten|жениться, выходить замуж|Они поженятся следующим летом.|A2
helfen|помогать|Могу я вам помочь?|A2
husten|кашлять|Он кашляет всю ночь.|A2
interessieren (sich)|интересоваться|Я интересуюсь языками.|A2
joggen|бегать трусцой|Я бегаю трусцой каждое утро в парке.|A2
kämmen|расчесывать|Она расчесывает волосы.|A2
kennen|знать (человека/место)|Я не знаю этого человека.|A2
kennenlernen|знакомиться|Я хочу познакомиться с новыми людьми.|A2
klicken|кликать|Кликните здесь, чтобы открыть документ.|A2
klingeln|звонить|Звонят в дверь.|A2
klopfen|стучать|Кто-то стучит в дверь.|A2
kopieren|копировать|Ты можешь скопировать этот документ?|A2
korrigieren|исправлять|Учитель исправляет ошибки.|A2
kostenlos|бесплатный|Парковка бесплатная.|A2
kriegen|получать (разг.)|Где я могу достать билеты?|A2
kühl|прохладный (используется с 'sein')|Сегодня прохладно.|A2
lassen|позволять, оставлять|Оставь меня в покое!|A2
leihen|одалживать|Ты можешь одолжить мне свою книгу?|A2
löschen|удалять, тушить|Удалите файл.|A2
mailen (e-mailen)|отправлять по электронной почте|Я отправлю тебе информацию по электронной почте.|A2
meinen|думать, иметь в виду|Что ты об этом думаешь?|A2
merken|замечать, запоминать|Запомни эту дату.|A2
mieten|снимать, арендовать|Мы хотим снять квартиру.|A2
mischen|смешивать|Хорошо смешайте ингредиенты.|A2
mitbringen|приносить с собой|Ты принесешь что-нибудь поесть?|A2
mögen|любить, нравиться|Я люблю шоколад.|A2
operieren|оперировать|Врач должен его прооперировать.|A2
ordnen|упорядочивать|Пожалуйста, расставь книги на полке.|A2
packen|паковать|Я должен упаковать свою сумку.|A2
passieren|случаться|Что случилось?|A2
probieren|пробовать|Хотите попробовать это блюдо?|A2
putzen|чистить|Мне еще нужно почистить ванную.|A2
reagieren|реагировать|Как он отреагировал?|A2
rennen|бежать|Дети бегают на детской площадке.|A2
rufen|звать, звонить по телефону|Я позвоню тебе позже.|A2
sammeln|собирать|Он собирает старые монеты.|A2
saugen|пылесосить|Мне сегодня еще нужно пропылесосить.|A2
schneiden|резать|Пожалуйста, порежь овощи.|A2
setzen (sich)|садиться|Сядь, пожалуйста, на стул.|A2
spazieren|гулять|Мы часто гуляем.|A2
speichern|сохранять|Не забудь сохранить файл.|A2
springen|прыгать|Дети прыгают на батуте.|A2
stecken|совать, втыкать|Положи ключ в карман.|A2
stellen|ставить|Поставь бутылку на стол.|A2
stressen|нервировать|Работа меня очень нервирует.|A2
suchen (nach D)|искать|Я ищу свой мобильный телефон.|A2
teilnehmen an D|участвовать в|Хотите принять участие в курсе?|A2
testen|тестировать|Мы должны протестировать новую программу.|A2
tragen|носить|Она носит красивое ожерелье.|A2
trennen (sich)|расставаться|Они расстались.|A2
trocknen|сушить|Белье быстро сохнет на солнце.|A2
träumen von D|мечтать о|Я мечтаю об отпуске.|A2
treffen|встречать|Мы встречаемся в 8 часов.|A2
treten|ступать, пинать|Он выбивает дверь ногой.|A2
umtauschen|обменивать|Я хочу обменять евро на доллары.|A2
umziehen|переезжать|Мы переехали в прошлом году.|A2
vergessen|забывать|Я забыл свой ключ.|A2
verheiraten|быть женатым/замужем|Она замужем.|A2
verändern|менять|Жизнь быстро меняется.|A2
verkaufen|продавать|Я хочу продать свою старую машину.|A2
verliebt sein in A|быть влюбленным в|Он влюблен в нее.|A2
verloben (sich)|обручаться|Они обручились.|A2
verlieren|терять|Я потерял свой ключ.|A2
verpassen|пропускать (автобус, возможность)|Я опоздал на автобус.|A2
versprechen|обещать|Я тебе это обещаю.|A2
versuchen|пытаться|Я попробую.|A2
ablegen|сдавать (экзамен)|Он должен сдать экзамен.|B1
ablehnen|отклонять|Она отклонила мое предложение.|B1
abschalten|выключать, расслабляться|Я должен расслабиться после работы.|B1
abschließen|запирать, заканчивать|Не забудь запереть дверь.|B1
absagen|отменять|Мы должны отменить встречу.|B1
absolvieren|оканчивать|Она успешно окончила учебу.|B1
abstimmen|голосовать|Мы должны проголосовать по предложению.|B1
abteilen|разделять|Комнату можно разделить.|B1
abtrocknen|вытирать насухо|Вытри посуду, пожалуйста.|B1
abwarten|дожидаться|Мы должны дождаться результатов.|B1
agieren|действовать|Актер действует очень убедительно.|B1
ändern|менять|Вам следует изменить свое мнение.|B1
anerkennen|признавать|Нужно признавать свои ошибки.|B1
anfangen|начинать|Фильм начинается в 20:00.|B1
anhaben|носить (одежду)|На ней красивое платье.|B1
anhalten|останавливаться|Автобус останавливается на следующей остановке.|B1
annehmen|принимать, предполагать|Я предполагаю, ты голоден.|B1
anprobieren|примерять|Хотите примерить эти брюки?|B1
anstellen|включать, становиться в очередь|Включи телевизор, пожалуйста.|B1
anstreben|стремиться к|Она стремится к карьере врача.|B1
aufgeben|сдаваться|Я не сдаюсь!|B1
aufheben|поднимать, хранить|Подними ручку, пожалуйста.|B1
auflegen|вешать трубку|Он просто повесил трубку.|B1
aufnehmen|записывать, принимать|Мы записываем песню.|B1
ausbilden|обучать|Фирма обучает новых сотрудников.|B1
auspacken|распаковывать|Мне еще нужно распаковать чемоданы.|B1
ausreichen|быть достаточным|Денег не хватает.|B1
ausverkaufen|распродавать|Концерт распродан.|B1
beachten|обращать внимание на|Соблюдайте правила, пожалуйста.|B1
bearbeiten|редактировать, обрабатывать|Я должен отредактировать этот текст.|B1
bedrohen|угрожать|Изменение климата угрожает нашему будущему.|B1
beeinflussen|влиять|Не стоит так легко поддаваться влиянию.|B1
befördern|повышать в должности, перевозить|Его повысили.|B1
begründen|обосновывать|Вы можете обосновать свое мнение?|B1
beginnen mit D|начинать с|Мы начинаем с урока.|B1
beleidigen|оскорблять|Он меня оскорбил.|B1
bemerken|замечать|Я заметил его ошибку.|B1
beraten|советовать|Эксперт нас консультирует.|B1
berufen|назначать|Его назначили в правление.|B1
berühren|касаться|Нельзя касаться произведений искусства.|B1
beschäftigen (sich mit D)|заниматься чем-либо|Я занимаюсь спортом.|B1
beschließen|решать|Мы решили переехать.|B1
bestehen aus D|состоять из|Команда состоит из пяти человек.|B1
bestimmen|определять|Ты определяешь, что мы делаем.|B1
beten|молиться|Она молится каждый вечер.|B1
betreuen|ухаживать, курировать|Она ухаживает за пожилыми людьми.|B1
bewegen (sich)|двигаться|Нужно регулярно двигаться.|B1
bewirken|вызывать, добиваться|Его слова многого добились.|B1
bieten|предлагать|Ресторан предлагает много блюд.|B1
bilden|образовывать|Снег образует толстый слой.|B1
blocken|блокировать|Вратарь смог заблокировать мяч.|B1
blühen|цвести|Цветы цветут весной.|B1
brechen|ломать|Он сломал ногу.|B1
brennen|гореть|Огонь горит.|B1
bürsten|чистить щеткой|Она расчесывает волосы.|B1
dämpfen|тушить, приглушать|Овощи тушатся.|B1
dauern|длиться|Как долго длится полет?|B1
dienen|служить|Этот инструмент служит для открывания бутылок.|B1
drehen|крутить, поворачивать|Повернись, пожалуйста.|B1
drücken|нажимать, давить|Нажми на кнопку.|B1
duzen|обращаться на "ты"|Мы здесь в фирме обращаемся на "ты".|B1
durchfallen durch A|проваливать (экзамен)|Он провалил экзамен.|B1
durchsagen|объявлять|Время прибытия было объявлено.|B1
ehelichen|вступать в брак (форм.)|Он женился на своей юношеской любви.|B1
eilen|спешить|Я должен спешить, иначе опоздаю.|B1
einfallen|приходить на ум|Мне пришла в голову хорошая идея.|B1
einfrieren|замораживать|Хлеб можно замораживать.|B1
einführen|вводить, импортировать|Этот новый продукт будет представлен осенью.|B1
einpacken|упаковывать|Мне еще нужно упаковать подарки.|B1
einreichen|подавать (документы)|Пожалуйста, подайте документы до пятницы.|B1
einrichten|обставлять, настраивать|Мы как раз обставляем нашу новую квартиру.|B1
einschreiben|записываться|Она хочет записаться на курс.|B1
einschenken|наливать (напиток)|Налить тебе еще вина?|B1
einstellen|нанимать, настраивать|Фирма нанимает новых сотрудников.|B1
eintreten in A|вступать в (организацию)|Он вступил в клуб.|B1
einwandern|иммигрировать|Многие люди иммигрируют в Германию.|B1
einwerfen|опускать (письмо), вбрасывать (монету)|Опустите письмо в почтовый ящик, пожалуйста.|B1
ermöglichen|делать возможным|Технологии делают для нас многое возможным.|B1
ernähren (sich)|питаться|Нужно питаться здорово.|B1
erreichen|достигать, дозваниваться|Я не смог до него дозвониться.|B1
erschweren|осложнять|Дождь осложняет поездку.|B1
erziehen|воспитывать|Она воспитывает своих детей с любовью.|B1
erzielen|достигать (результата)|Он достиг хорошего результата.|B1
exisitieren|существовать|Многие старые традиции все еще существуют.|B1
fällen|рубить (дерево)|Лесник должен рубить деревья.|B1
fangen|ловить|Собака ловит мяч.|B1
fassen|хватать, понимать|Я не могу в это поверить!|B1
festlegen|устанавливать, определять|Мы должны установить дату.|B1
festnehmen|арестовывать|Полиция арестовала вора.|B1
feststellen|устанавливать, констатировать|Он установил, что дверь была открыта.|B1
filmen|снимать фильм|Они снимают документальный фильм.|B1
fischen|ловить рыбу|Мы ловим рыбу в реке.|B1
fließen|течь|Вода течет быстро.|B1
folgen|следовать|Следуйте за мной, пожалуйста!|B1
fördern|способствовать, поддерживать|Правительство поддерживает малые предприятия.|B1
fordern|требовать|Рабочие требуют повышения заработной платы.|B1
fotografieren|фотографировать|Она любит фотографировать пейзажи.|B1
frittieren|жарить во фритюре|Картофель фри жарится во фритюре.|B1
füllen|наполнять|Наполните стакан водой, пожалуйста.|B1
garen|доводить до готовности|Мясо еще должно дойти до готовности.|B1
gebrauchen|использовать|Это старое устройство еще можно использовать.|B1
geschehen|происходить|Что произошло?|B1
gewöhnen (sich an A)|привыкать к|Я должен привыкнуть к новой погоде.|B1
gießen|поливать (растения), лить|Полей цветы, пожалуйста.|B1
gründen|основывать|Они основали новое предприятие.|B1
halbieren (sich)|уменьшаться вдвое|Число участников уменьшилось вдвое.|B1
handeln|действовать, торговать|Нужно действовать быстро.|B1
heben|поднимать|Он поднимает посылку.|B1
herausfordern|бросать вызов|Эта задача бросает мне вызов.|B1
herstellen|производить, изготавливать|Эта фирма производит автомобили.|B1
hinlegen|ложиться|Я должен ненадолго прилечь.|B1
hinsetzen|садиться|Сядь сюда, пожалуйста.|B1
hungern|голодать|Многие люди в этом регионе голодают.|B1
informieren (sich bei D über A)|информироваться у кого-либо о чем-либо|Я должен узнать у него о курсе.|B1
installieren|устанавливать|Мы должны установить новое программное обеспечение.|B1
internationalisieren|интернационализировать|Предприятие хочет интернационализировать свою продукцию.|B1
isolieren (sich von D)|изолироваться от|Иногда я хочу изолироваться от всех.|B1
kämmen|расчесывать|Она каждое утро расчесывает волосы.|B1
kämpfen|бороться|Они борются за свои права.|B1
kürzen|сокращать|Нужно сократить текст.|B1
kündigen|увольнять(ся), расторгать (договор)|Он расторг договор аренды своей квартиры.|B1
lecken an D|лизать|Собака лижет свою лапу.|B1
leiden an A / unter D|страдать от|Она страдает от простуды.|B1
leisten|достигать, позволять себе|Он хорошо работает.|B1
leiten|руководить|Она руководит большой командой.|B1
lehren|преподавать|Он преподает английский в университете.|B1
loben|хвалить|Учительница хвалит учеников.|B1
lohnen (sich)|стоить того|Стоит вставать рано.|B1
lügen|лгать|Ты не должен лгать.|B1
managen|управлять|Она управляет международным проектом.|B1
melden|сообщать|Сообщите, пожалуйста, на ресепшн.|B1
mieten|снимать, арендовать|Мы хотим арендовать машину.|B1
mobilisieren|мобилизовать|Новая кампания должна мобилизовать избирателей.|B1
modernisieren|модернизировать|Старая кухня модернизируется.|B1
möblieren|меблировать|Квартира полностью меблирована.|B1
nachdenken über A|думать о|Я должен подумать о твоем предложении.|B1
nachfüllen|дополнять|Можешь, пожалуйста, заправить принтер?|B1
nutzen|использовать|Используйте возможность!|B1
öffnen|открывать|Магазин открывается в 9 часов.|B1
pfeifen|свистеть|Он насвистывает песню.|B1
pflanzen|сажать|Мы сажаем деревья в саду.|B1
pflücken|срывать (цветы, фрукты)|Дети срывают цветы.|B1
philosophieren|философствовать|Они часто сидят вместе и философствуют о жизни.|B1
prämieren|премировать|Лучший фильм был премирован.|B1
rechnen|считать|Ты умеешь быстро считать?|B1
reduzieren|сокращать|Мы должны сократить количество мусора.|B1
regelmäßig|регулярно|Нужно регулярно заниматься спортом.|B1
reinigen|чистить|Одежду нужно почистить.|B1
reklamieren|предъявлять претензию|Я хочу предъявить претензию по поводу этого товара.|B1
retten|спасать|Пожарные смогли спасти ребенка.|B1
riskieren|рисковать|Он рискует всем ради своей мечты.|B1
rollen|катиться|Мяч катится с холма.|B1
sagen|говорить|Что ты сказал?|B1
salzen|солить|Посолите еду, пожалуйста.|B1
schaffen|справляться, создавать|Я справлюсь!|B1
schätzen|ценить, оценивать|Я очень ценю твою помощь.|B1
scheinen|светить, казаться|Солнце сегодня светит.|B1
schieben|двигать, толкать|Подвинь стул поближе.|B1
schlimm|плохой, серьезный (используется с 'sein')|Это не так уж и плохо.|B1
